Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-EHK,MAGNI GYRO LIMITED,MAGNI M22,GYROCOPTER,20/07/2009,450,2007,22074384,ROTAX,914,1,PRIVATE INDIVIDUAL,"CLARE,"
EI-EHL,BEWLEY PS,TANARG/IXESS 15 912S(2),ANNEX I 1(E) / 450 KG,31/08/2009,450,2006,BMAA/HB/504,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-EHM,BALFOUR PETER,RAND KR-2,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,25/07/2011,503,1982,1554,CONTINENTAL MOTORS CORP.,C85,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-EHY,URBAN AIR S.R.O.,SAMBA XXL,ANNEX I 1(E) / 450 KG,10/02/2010,450,2006,SA XL -36,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"LONGFORD, WEXFORD,"
EI-EIA,AIRBUS INDUSTRIE,A320-216,LAND AEROPLANE,09/07/2010,73500,2010,4195,CFM,CFM56-5B6/3,2,MAINSTREAM AIRCRAFT LEASING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK, SHANNON, CO. CLARE,"
EI-EIB,AIRBUS INDUSTRIE,A320-216,LAND AEROPLANE,08/07/2010,73500,2010,4249,CFM,CFM56-5B6/3,2,MAINSTREAM AIRCRAFT LEASING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK, SHANNON, CO. CLARE,"
EI-EIC,AIRBUS INDUSTRIE,A320-216,LAND AEROPLANE,10/12/2010,73500,2010,4520,CFM,CFM56-5B6/3,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-EID,AIRBUS INDUSTRIE,A320-216,LAND AEROPLANE,08/12/2010,73500,2010,4523,CFM,CFM56-5B6/3,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-EIE,AIRBUS INDUSTRIE,A320-216,LAND AEROPLANE,20/12/2010,73500,2010,4536,CFM,CFM56-5B6/3,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-EIK,AIRBUS INDUSTRIE,A330-302,LAND AEROPLANE,13/05/2020,233000,2006,789,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-EIL,AIRBUS INDUSTRIE,A330-302,LAND AEROPLANE,23/03/2021,233000,2008,0893,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-EIM,AIRBUS INDUSTRIE,A330-302,LAND AEROPLANE,29/11/2019,242000,2019,1950,GENERAL ELECTRIC COMPANY,CF6-80E1A4,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-EIN,AIRBUS INDUSTRIE,A330-302,LAND AEROPLANE,28/02/2020,242000,2020,1951,GENERAL ELECTRIC COMPANY,CF6-80E1A4,2,AER LINGUS LIMITED,"DUBLIN AIRPORT, CO. DUBLIN,"
EI-EJG,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,06/07/2010,230000,2010,1123,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,GPFC IRELAND LIMITED,"TWO PARK PLACE, HATCH STREET UPPER, DUBLIN 2,"
EI-EJH,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,23/07/2010,230000,2010,1135,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,GPFC IRELAND LIMITED,"TWO PARK PLACE, HATCH STREET UPPER, DUBLIN 2,"
EI-EJL,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,30/01/2012,230000,2012,1283,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,ALC BLARNEY AIRCRAFT LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
EI-EJM,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,14/05/2012,230000,2012,1308,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,MDAC 10 (IRELAND) LIMITED,"2ND FLOOR BEAUX LANE HOUSE, MERCER STREET LOWER, DUBLIN 2,"
EI-EJN,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,29/05/2012,230000,2012,1313,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,A.P.C. AIRCRAFT PURCHASE COMPANY LIMITED,"32 MOLESWORTH STREET, DUBLIN 2,"
EI-EJO,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,12/07/2012,230000,2012,1327,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,MDAC 10 (IRELAND) LIMITED,"2ND FLOOR BEAUX LANE HOUSE, MERCER STREET LOWER, DUBLIN 2,"
EI-EJP,AIRBUS INDUSTRIE,A330-202,LAND AEROPLANE,22/10/2012,230000,2012,1354,GENERAL ELECTRIC COMPANY,CF6-80E1A4B,2,FIRST STAR SPEIR AVIATION 1 LIMITED,"2nd FLOOR, BLOCK 2, IRISH LIFE CENTRE, ABBEY STREET LOWER, DUBLIN 1,"
EI-EKC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,13/01/2010,66990,2010,38495,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,19/01/2010,66990,2010,35024,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKF,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,21/01/2010,66990,2010,35025,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKG,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/01/2010,66990,2010,35021,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKH,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/01/2010,66990,2010,38493,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKI,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/02/2010,66990,2010,38496,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKJ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,10/02/2010,66990,2010,38497,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,10/02/2010,66900,2010,38500,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKL,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,11/02/2010,66990,2010,38498,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKM,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,15/02/2010,74990,2010,38499,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKN,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,18/02/2010,66990,2010,35026,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/03/2010,66990,2010,35027,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKP,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,02/03/2010,66990,2010,35028,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKR,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,08/03/2010,74990,2010,38503,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKS,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,08/03/2010,66990,2010,38504,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKT,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,09/03/2010,66990,2010,38505,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKV,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,15/03/2010,66990,2010,38507,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKW,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,23/03/2010,66990,2010,38506,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKX,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,23/03/2010,66990,2010,35030,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EKY,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,07/04/2010,66990,2010,35031,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ELB,RAJ HAMSA X' AIR,X'AIR 582(1),ANNEX I 1(E) / 450 KG,27/11/2009,450,2000,BMAA/HB/160,ROTAX,582-48-2V,1,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-ELC,COMCO IKARUS GMBH,IKARUS C42B,ANNEX I 1(E) / 450 KG,27/05/2010,472.5,1999,9908-6204,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-ELL,MEDWAY MICROLIGHTS LTD,ECLIPSER,ANNEX I 1(E) / 450 KG,01/11/2011,415,1999,157/136,ROTAX,912,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-ELM,PIPER AIRCRAFT INC,PIPER PA-19 (MODIFIED),LAND AEROPLANE,14/05/2010,680,1952,18-1533,CONTINENTAL MOTORS CORP.,C90-14F,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-EMA,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,12/04/2010,66990,2010,35032,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMB,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/04/2010,66990,2010,38511,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/04/2010,66990,2010,38510,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/04/2010,66990,2010,38509,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EME,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,26/04/2010,66990,2010,35029,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMF,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,26/04/2010,66990,2010,34978,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMH,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,29/04/2010,66990,2010,34974,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMI,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,04/05/2010,66990,2010,34979,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMJ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,10/05/2010,66990,2010,34975,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,11/05/2010,66990,2010,38512,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EML,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/05/2010,66990,2010,38513,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMM,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/05/2010,66990,2010,38514,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMN,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,24/05/2010,66990,2010,38515,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,21/06/2010,66990,2010,40283,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EMT,PIPER AIRCRAFT INC,PIPER PA-16 (MODIFIED),LAND AEROPLANE,13/04/2010,748,1949,16-29,LYCOMING,O-320-A2A,1,PRIVATE INDIVIDUAL,"DONEGAL,"
EI-EMU,REIMS AVIATION SA,CESSNA F152,LAND AEROPLANE,14/05/2010,758,1981,1882,LYCOMING,O-235-L2C,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-EMV,CZECH SPORT AIRCRAFT AS,SPORTCRUISER,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,28/04/2010,600,2007,07sc053,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"CLARE, LAOIS, LIMERICK, TIPPERARY,"
EI-ENA,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,28/09/2010,66990,2010,34983,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,30/09/2010,66990,2010,34980,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENE,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,08/10/2010,66990,2010,34976,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENF,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,26/10/2010,66990,2010,35034,CFM,CFM56-7B26,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENG,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,27/10/2010,66990,2010,34977,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENH,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,26/10/2010,66990,2010,35033,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENI,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,12/01/2011,66990,2011,40300,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENJ,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,14/01/2011,66990,2011,40301,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENK,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/01/2011,66990,2011,40303,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENL,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,21/01/2011,66990,2011,35037,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENM,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,20/01/2011,66990,2011,35038,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENN,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/01/2011,66990,2011,35036,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENO,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/01/2011,66990,2011,40302,CFM,CFM56-7B26CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENP,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,25/01/2011,66990,2011,40304,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENR,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,01/02/2011,66990,2011,35041,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENT,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,08/02/2011,66990,2011,35040,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENV,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,09/02/2011,66990,2011,35039,CFM,CFM56-7B26CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-ENW,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,15/02/2011,66990,2011,40306,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EOA,REYNOLDS P,X'AIR JABIRU(1),ANNEX I 1(E) / 450 KG,26/05/2010,450,2002,BMAA/HB/150,JABIRU,2200,1,PRIVATE INDIVIDUAL,"CORK,"
EI-EOC,FORMHALS S,VANS RV-6,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,30/06/2010,726,1997,23830,LYCOMING,O-320-E2A,1,PRIVATE INDIVIDUAL,"KILKENNY, LAOIS,"
EI-EOF,WHITESIDE RM,JABIRU SP-430,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,16/12/2010,430,1999,232,JABIRU,2200A,1,PRIVATE INDIVIDUAL,"MEATH, WESTMEATH,"
EI-EOH,BRM-CONSTRUCOES AERONAUTICAS LDA,LAND AFRICA,ANNEX I 1(E) / 450 KG,26/07/2010,450,2010,0162/912ULS/10-LA,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"MAYO,"
EI-EOI,TAKE OFF,MERLIN 1100,ANNEX I 1(E) / 450 KG,29/09/2010,472,2005,119.405,BMW,AIR 1100 GS,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-EOU,EVEKTOR AEROTECHNIK AS,EV-97 EUROSTAR SL,ANNEX I 1(E) / 450 KG,14/02/2011,450,2009,2009 3615,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"LAOIS,"
EI-EOW,P AND M AVIATION LTD,FLIGHT DESIGN CTSW,ANNEX I 1(E) / 450 KG,15/12/2010,450,2007,8317,ROTAX,912-ULS,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-EPB,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,23/03/2011,66990,2011,34986,CFM,CFM56-7B26/3CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EPC,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,23/03/2011,66990,2011,40312,CFM,CFM56-7B26/3,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EPD,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,23/03/2011,66990,2011,40310,CFM,CFM56-7B26E,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-EPI,MEDWAY MICROLIGHTS LTD,HYBRED 44XLR,ANNEX I 1(E) / 450 KG,13/06/2011,367,1989,MR058/66,ROTAX,503-DCDI,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-EPJ,MAINAIR SPORTS LTD,GEMINI FLASH IIA,ANNEX I 1(E) / 450 KG,02/06/2011,370,1987,551-687-5-W339,ROTAX,503,1,PRIVATE INDIVIDUAL,"CLARE,"
EI-EPK,P AND M AVIATION LTD,PEGASUS QUANTUM 15-912,ANNEX I 1(E) / 450 KG,17/05/2011,409,1998,7430,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"WEXFORD,"
EI-EPP,PIPER AIRCRAFT INC,PIPER PA-22-160,LAND AEROPLANE,26/05/2011,907,1960,22-7421,LYCOMING,O-320-B2B,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-EPW,FARRELL N,SAVANNAH JABIRU(5),ANNEX I 1(E) / 450 KG,01/06/2011,450,2007,BMAA/HB/534,JABIRU,2200,1,PRIVATE INDIVIDUAL,"LONGFORD,"
EI-EPY,URBAN AIR S.R.O.,LAMBADA UFM-11,ANNEX I 1(E) / 450 KG,27/06/2011,450,1998,5/11,ROTAX,912-UL,1,PRIVATE INDIVIDUAL,"CARLOW,"
